ClaimsPerUniquePhysician,ClaimsPerBeneficiary,ClaimAnomalyRate
1.3157894736842106,1.0416666666666667,0.2
2.588235294117647,1.1282051282051282,0.5075757575757576
3.1041666666666665,1.079710144927536,0.11409395973154363
166.42857142857142,2.3535353535353534,0.08240343347639485
6.545454545454546,1.2413793103448276,0.08333333333333333
3.583333333333333,1.1944444444444444,0.09302325581395349
1.4146341463414631,1.0943396226415094,0.08620689655172414
2.0,1.5483870967741935,0.16666666666666666
4.181818181818182,1.0454545454545454,0.08695652173913043
3.333333333333333,1.2,0.16666666666666666
1.3333333333333333,1.1428571428571428,0.125
2.0,1.0,0.0
4.256198347107438,1.2261904761904765,0.0912621359223301
3.2125,1.2355769230769231,0.19455252918287938
2.117647058823529,1.0285714285714285,0.3888888888888889
2.7857142857142856,1.0263157894736843,0.23076923076923078
2.071428571428572,1.144736842105263,0.25287356321839083
2.054054054054054,1.3571428571428572,0.13157894736842105
5.3,1.2045454545454546,0.16981132075471697
2.066666666666667,1.1772151898734178,0.043010752688172046
3.1666666666666665,1.179310344827586,0.5263157894736842
2.642857142857143,1.178343949044586,0.1945945945945946
1.7692307692307692,1.0952380952380951,0.043478260869565216
1.3636363636363635,1.2,0.06666666666666667
55.6,2.122137404580153,0.08273381294964029
113.5,2.203883495145631,0.13215859030837004
2.611111111111111,1.3177570093457944,0.2695035460992908
5.0588235294117645,1.2463768115942029,0.13953488372093023
3.090909090909091,1.096774193548387,0.058823529411764705
1.9452054794520548,1.109375,0.11267605633802817
3.2857142857142856,1.15,0.043478260869565216
59.0,1.5128205128205128,0.0847457627118644
1.9375,1.0689655172413792,0.0967741935483871
6.333333333333333,1.4615384615384617,0.2631578947368421
0.9166666666666666,1.0,0.09090909090909091
2.235294117647059,1.1515151515151516,0.13157894736842105
1.6136363636363635,1.0923076923076922,0.08450704225352113
2.7058823529411766,1.2432432432432432,0.17391304347826086
0.5,1.0,1.0
19.0,1.425,0.08771929824561403
3.142857142857143,1.0,0.13636363636363635
3.142857142857143,1.0476190476190477,0.18181818181818182
5.0,1.25,0.2
2.1842105263157894,1.106666666666667,0.12048192771084337
2.341463414634146,1.170731707317073,0.2916666666666667
1.3125,1.0,0.11904761904761904
24.166666666666668,2.164179104477612,0.12413793103448276
56.71428571428572,2.391566265060241,0.08564231738035265
37.25,1.2956521739130435,0.12751677852348994
2.3488372093023258,1.3348017621145374,0.1848184818481848
2.5454545454545454,1.0769230769230769,0.35714285714285715
2.4,1.1428571428571428,0.08333333333333333
2.230769230769231,1.183673469387755,0.2413793103448276
2.868131868131868,1.219626168224299,0.11494252873563218
1.6229508196721312,1.434782608695652,0.1717171717171717
2.0,1.0,0.125
2.789473684210526,1.325,0.12264150943396226
2.294117647058824,1.0,0.23076923076923078
4.25,1.3076923076923077,0.058823529411764705
3.2222222222222223,1.0740740740740742,0.06896551724137931
2.75,1.1,0.6060606060606061
1.4375,1.0,0.391304347826087
50.0,1.5267175572519085,0.115
